Year,DOY,hour,minute,Global Horiz [W/m^2]
2017,144,3,30,-0.9088
2017,144,3,31,-1.0228
2017,144,3,32,-1.106
2017,144,3,33,-1.109
2017,144,3,34,-1.109
2017,144,3,35,-1.109
2017,144,3,36,-1.109
2017,144,3,37,-1.109
2017,144,3,38,-1.109
2017,144,3,39,-1.109
2017,144,3,40,-1.109
2017,144,3,41,-1.109
2017,144,3,42,-1.109
2017,144,3,43,-1.109
2017,144,3,44,-1.109
2017,144,3,45,-1.1583
2017,144,3,46,-1.3647
2017,144,3,47,-1.4418
2017,144,3,48,-1.4787
2017,144,3,49,-1.4787
2017,144,3,50,-1.5157
2017,144,3,51,-1.6821
2017,144,3,52,-1.7899
2017,144,3,53,-1.6574
2017,144,3,54,-1.6328
2017,144,3,55,-1.5034
2017,144,3,56,-1.4787
2017,144,3,57,-1.4633
2017,144,3,58,-1.4787
2017,144,3,59,-1.4818
2017,144,4,0,-1.4849
2017,144,4,1,-1.4818
2017,144,4,2,-1.4787
2017,144,4,3,-1.4787
2017,144,4,4,-1.5373
2017,144,4,5,-1.6574
2017,144,4,6,-1.5003
2017,144,4,7,-1.4787
2017,144,4,8,-1.4787
2017,144,4,9,-1.4787
2017,144,4,10,-1.4787
2017,144,4,11,-1.4787
2017,144,4,12,-1.4787
2017,144,4,13,-1.4787
2017,144,4,14,-1.4941
2017,144,4,15,-1.6636
2017,144,4,16,-1.7622
2017,144,4,17,-1.7437
2017,144,4,18,-1.5896
2017,144,4,19,-1.5095
2017,144,4,20,-1.6574
2017,144,4,21,-1.8207
2017,144,4,22,-1.6759
2017,144,4,23,-1.4849
2017,144,4,24,-1.5773
2017,144,4,25,-1.8361
2017,144,4,26,-1.8423
2017,144,4,27,-1.8484
2017,144,4,28,-1.8423
2017,144,4,29,-1.7837
2017,144,4,30,-1.6975
2017,144,4,31,-1.7129
2017,144,4,32,-1.7498
2017,144,4,33,-1.7745
2017,144,4,34,-1.7591
2017,144,4,35,-1.5434
2017,144,4,36,-1.411
2017,144,4,37,-1.1245
2017,144,4,38,-1.1091
2017,144,4,39,-1.0413
2017,144,4,40,-0.7671
2017,144,4,41,-0.73937
2017,144,4,42,-0.73937
2017,144,4,43,-0.84103
2017,144,4,44,-0.8626
2017,144,4,45,-0.83179
2017,144,4,46,-0.74245
2017,144,4,47,-0.73937
2017,144,4,48,-0.73937
2017,144,4,49,-0.73321
2017,144,4,50,-0.77017
2017,144,4,51,-0.74553
2017,144,4,52,-0.45286
2017,144,4,53,-0.36968
2017,144,4,54,-0.3666
2017,144,4,55,-0.13863
2017,144,4,56,0
2017,144,4,57,0.15404
2017,144,4,58,0.3666
2017,144,4,59,0.38817
2017,144,5,0,0.71472
2017,144,5,1,1.032
2017,144,5,2,1.1645
2017,144,5,3,1.4757
2017,144,5,4,1.8238
2017,144,5,5,1.8515
2017,144,5,6,1.9778
2017,144,5,7,2.2027
2017,144,5,8,2.2921
2017,144,5,9,2.711
2017,144,5,10,3.0037
2017,144,5,11,3.5089
2017,144,5,12,3.7616
2017,144,5,13,4.0604
2017,144,5,14,4.0296
2017,144,5,15,4.0542
2017,144,5,16,4.3962
2017,144,5,17,4.4363
2017,144,5,18,4.7043
2017,144,5,19,5.305
2017,144,5,20,5.2619
2017,144,5,21,5.3666
2017,144,5,22,6.4788
2017,144,5,23,7.5601
2017,144,5,24,8.0654
2017,144,5,25,8.3981
2017,144,5,26,9.2669
2017,144,5,27,9.7043
2017,144,5,28,10.188
2017,144,5,29,10.407
2017,144,5,30,10.706
2017,144,5,31,10.906
2017,144,5,32,12.301
2017,144,5,33,14.443
2017,144,5,34,15.733
2017,144,5,35,14.547
2017,144,5,36,13.451
2017,144,5,37,14.615
2017,144,5,38,16.128
2017,144,5,39,15.823
2017,144,5,40,15.136
2017,144,5,41,14.917
2017,144,5,42,15.524
2017,144,5,43,16.205
2017,144,5,44,16.944
2017,144,5,45,17.619
2017,144,5,46,17.73
2017,144,5,47,17.874
2017,144,5,48,18.481
2017,144,5,49,18.558
2017,144,5,50,18.327
2017,144,5,51,18.075
2017,144,5,52,18.722
2017,144,5,53,19.221
2017,144,5,54,18.943
2017,144,5,55,18.454
2017,144,5,56,18.537
2017,144,5,57,19.184
2017,144,5,58,19.202
2017,144,5,59,19.008
2017,144,6,0,19.433
2017,144,6,1,20.16
2017,144,6,2,20.548
2017,144,6,3,21.069
2017,144,6,4,21.999
2017,144,6,5,23.34
2017,144,6,6,23.712
2017,144,6,7,23.284
2017,144,6,8,23.309
2017,144,6,9,23.506
2017,144,6,10,24.19
2017,144,6,11,24.837
2017,144,6,12,25.961
2017,144,6,13,28.124
2017,144,6,14,30.49
2017,144,6,15,33.352
2017,144,6,16,34.994
2017,144,6,17,33.028
2017,144,6,18,30.903
2017,144,6,19,30.709
2017,144,6,20,32.576
2017,144,6,21,34.11
2017,144,6,22,35.425
2017,144,6,23,37.326
2017,144,6,24,38.768
2017,144,6,25,39.298
2017,144,6,26,39.618
2017,144,6,27,41.306
2017,144,6,28,43.315
2017,144,6,29,45.204
2017,144,6,30,48.056
2017,144,6,31,48.568
2017,144,6,32,44.449
2017,144,6,33,42.813
2017,144,6,34,46.596
2017,144,6,35,49.418
2017,144,6,36,50.712
